Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
67,哈尔滨工程大学,轻轻的一个稳 (Light_Kiss ),6,527,+1(5),,,,,+2(30),,+1(218),+1(111),+1(82),,+1(61),-9
68,北京理工大学,理工的小铁匠 (BIT_Basket of Charcoal ),6,546,+1(0),,,,-4,+1(25),,+4(179),+1(167),+1(53),,+1(62),-4
69,天津大学,TJU_Happy_For_Cutting_Classes (TJU_Happy_For_Cutting_Classes ),6,579,+1(20),,,,-5,+4(46),,,+1(135),+3(29),,+1(76),+1(173)
70,中南大学,LLL (LLL ),6,595,+1(0),,,,,+1(29),,+3(264),+1(33),+1(81),,+2(128),-5
71,北京工业大学,Team Team! (Team Team! ),6,618,+1(1),,,,+3(193),+2(36),,+1(106),+1(124),+1(98),,,
72,深圳大学,猜猜我们叫什么 (SZU_whw ),6,625,+1(3),,,,,+2(19),,+1(241),+1(133),+2(111),,+1(78),-3
73,重庆大学,三瓶养乐多 (yakult ),6,627,+1(11),,,,,+1(9),,+1(280),+1(154),+2(81),,+2(52),-3
74,南京林业大学,吃饱了想队名 (RefillMyCup ),6,638,+1(0),,,,,+1(13),,-15,+1(150),+5(125),,+1(67),+2(183)
75,杭州电子科技大学,HDU-NoResponse (HDU-NoResponse ),6,640,+1(3),,,,,+2(20),,+1(193),+1(176),+2(91),,+1(117),-12
76,成都信息工程大学,你行不行啊 (Are you ok ),6,641,+1(2),,,,,+1(18),,+1(214),+1(170),+1(105),,+1(132),-10
77,浙江师范大学,德国骨科 (German Dept. of orthopedics ),6,642,+1(8),-1,,,,+1(23),,+1(278),+1(181),+2(86),,+1(46),
78,山东科技大学,奋进号 (SKD1895 Endeavour ),6,649,+1(1),,,,,+1(13),,+1(240),+1(182),+1(96),,+1(117),-12
79,中国矿业大学,新鲜毒奶 (Fresh and Poisonous Milk ),6,650,+1(4),,,,,+1(12),,+1(272),+2(204),+2(79),,+1(39),-20
